dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,day_type,temp_category,cnt_log,hr,rush_hour
2011-01-01,Spring,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Weekend,Mild,6.893656354602635,,
2011-01-02,Spring,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Weekend,Mild,6.687108607866515,,
2011-01-03,Spring,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Weekday,Cold,7.2078598714324755,,
2011-01-04,Spring,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Weekday,Cold,7.354362330421477,,
2011-01-05,Spring,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Weekday,Cold,7.378383712996714,,
2011-01-06,Spring,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Weekday,Cold,7.382124365737512,,
2011-01-07,Spring,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,Weekday,Cold,7.32052696227274,,
2011-01-08,Spring,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,Weekend,Cold,6.866933284461882,,
2011-01-09,Spring,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,Weekend,Cold,6.71295620067707,,
2011-01-10,Spring,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,Weekday,Cold,7.186901020411631,,
2011-01-11,Spring,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,Weekday,Cold,7.142036574706803,,
2011-01-12,Spring,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,Weekday,Cold,7.0587581525186645,,
2011-01-13,Spring,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,Weekday,Cold,7.249215057114389,,
2011-01-14,Spring,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,Weekday,Cold,7.259819610363186,,
2011-01-15,Spring,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,Weekend,Cold,7.130098510125578,,
2011-01-16,Spring,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,Weekend,Cold,7.094234845924755,,
2011-01-17,Spring,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,Weekday,Cold,6.90875477931522,,
2011-01-18,Spring,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683,Weekday,Cold,6.52795791762255,,
2011-01-19,Spring,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,Weekday,Cold,7.409136443920128,,
2011-01-20,Spring,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,Weekday,Cold,7.564238475170491,,
2011-01-21,Spring,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,Weekday,Cold,7.342131730584722,,
2011-01-22,Spring,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,Weekend,Cold,6.889591308354466,,
2011-01-23,Spring,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,Weekend,Cold,6.894670039433482,,
2011-01-24,Spring,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,Weekday,Cold,7.256297239690681,,
2011-01-25,Spring,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,Weekday,Cold,7.593877844605118,,
2011-01-26,Spring,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,Weekday,Cold,6.228511003591184,,
2011-01-27,Spring,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,Weekday,Cold,6.068425588244111,,
2011-01-28,Spring,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,Weekday,Cold,7.0630481633881725,,
2011-01-29,Spring,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,Weekend,Cold,7.002155954403621,,
2011-01-30,Spring,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,Weekend,Cold,7.00033446027523,,
2011-01-31,Spring,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,Weekday,Cold,7.31455283232408,,
