instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,day_type,temp_category,cnt_log,data_source
1,2011-01-01,Spring,0,1,0,6,0,2,0.344167,0.805833,0.160446,331,654,985,Weekend,Mild,6.893656354602635,day
2,2011-01-02,Spring,0,1,0,0,0,2,0.363478,0.696087,0.248539,131,670,801,Weekend,Mild,6.687108607866515,day
3,2011-01-03,Spring,0,1,0,1,1,1,0.196364,0.437273,0.248309,120,1229,1349,Weekday,Cold,7.2078598714324755,day
4,2011-01-04,Spring,0,1,0,2,1,1,0.2,0.590435,0.160296,108,1454,1562,Weekday,Cold,7.354362330421477,day
5,2011-01-05,Spring,0,1,0,3,1,1,0.226957,0.436957,0.1869,82,1518,1600,Weekday,Cold,7.378383712996714,day
6,2011-01-06,Spring,0,1,0,4,1,1,0.204348,0.518261,0.0895652,88,1518,1606,Weekday,Cold,7.382124365737512,day
7,2011-01-07,Spring,0,1,0,5,1,2,0.196522,0.498696,0.168726,148,1362,1510,Weekday,Cold,7.32052696227274,day
8,2011-01-08,Spring,0,1,0,6,0,2,0.165,0.535833,0.266804,68,891,959,Weekend,Cold,6.866933284461882,day
9,2011-01-09,Spring,0,1,0,0,0,1,0.138333,0.434167,0.36195,54,768,822,Weekend,Cold,6.71295620067707,day
10,2011-01-10,Spring,0,1,0,1,1,1,0.150833,0.482917,0.223267,41,1280,1321,Weekday,Cold,7.186901020411631,day
11,2011-01-11,Spring,0,1,0,2,1,2,0.169091,0.686364,0.122132,43,1220,1263,Weekday,Cold,7.142036574706803,day
12,2011-01-12,Spring,0,1,0,3,1,1,0.172727,0.599545,0.304627,25,1137,1162,Weekday,Cold,7.0587581525186645,day
13,2011-01-13,Spring,0,1,0,4,1,1,0.165,0.470417,0.301,38,1368,1406,Weekday,Cold,7.249215057114389,day
14,2011-01-14,Spring,0,1,0,5,1,1,0.16087,0.537826,0.126548,54,1367,1421,Weekday,Cold,7.259819610363186,day
15,2011-01-15,Spring,0,1,0,6,0,2,0.233333,0.49875,0.157963,222,1026,1248,Weekend,Cold,7.130098510125578,day
16,2011-01-16,Spring,0,1,0,0,0,1,0.231667,0.48375,0.188433,251,953,1204,Weekend,Cold,7.094234845924755,day
17,2011-01-17,Spring,0,1,1,1,0,2,0.175833,0.5375,0.194017,117,883,1000,Weekday,Cold,6.90875477931522,day
18,2011-01-18,Spring,0,1,0,2,1,2,0.216667,0.861667,0.146775,9,674,683,Weekday,Cold,6.52795791762255,day
19,2011-01-19,Spring,0,1,0,3,1,2,0.292174,0.741739,0.208317,78,1572,1650,Weekday,Cold,7.409136443920128,day
20,2011-01-20,Spring,0,1,0,4,1,2,0.261667,0.538333,0.195904,83,1844,1927,Weekday,Cold,7.564238475170491,day
21,2011-01-21,Spring,0,1,0,5,1,1,0.1775,0.457083,0.353242,75,1468,1543,Weekday,Cold,7.342131730584722,day
22,2011-01-22,Spring,0,1,0,6,0,1,0.0591304,0.4,0.17197,93,888,981,Weekend,Cold,6.889591308354466,day
23,2011-01-23,Spring,0,1,0,0,0,1,0.0965217,0.436522,0.2466,150,836,986,Weekend,Cold,6.894670039433482,day
24,2011-01-24,Spring,0,1,0,1,1,1,0.0973913,0.491739,0.15833,86,1330,1416,Weekday,Cold,7.256297239690681,day
25,2011-01-25,Spring,0,1,0,2,1,2,0.223478,0.616957,0.129796,186,1799,1985,Weekday,Cold,7.593877844605118,day
26,2011-01-26,Spring,0,1,0,3,1,3,0.2175,0.8625,0.29385,34,472,506,Weekday,Cold,6.228511003591184,day
27,2011-01-27,Spring,0,1,0,4,1,1,0.195,0.6875,0.113837,15,416,431,Weekday,Cold,6.068425588244111,day
28,2011-01-28,Spring,0,1,0,5,1,2,0.203478,0.793043,0.1233,38,1129,1167,Weekday,Cold,7.0630481633881725,day
29,2011-01-29,Spring,0,1,0,6,0,1,0.196522,0.651739,0.145365,123,975,1098,Weekend,Cold,7.002155954403621,day
30,2011-01-30,Spring,0,1,0,0,0,1,0.216522,0.722174,0.0739826,140,956,1096,Weekend,Cold,7.00033446027523,day
31,2011-01-31,Spring,0,1,0,1,1,2,0.180833,0.60375,0.187192,42,1459,1501,Weekday,Cold,7.31455283232408,day
32,2011-02-01,Spring,0,2,0,2,1,2,0.192174,0.829565,0.053213,47,1313,1360,Weekday,Cold,7.215975002651466,day
33,2011-02-02,Spring,0,2,0,3,1,2,0.26,0.775417,0.264308,72,1454,1526,Weekday,Cold,7.331060305218632,day
34,2011-02-03,Spring,0,2,0,4,1,1,0.186957,0.437826,0.277752,61,1489,1550,Weekday,Cold,7.346655163176539,day
35,2011-02-04,Spring,0,2,0,5,1,2,0.211304,0.585217,0.127839,88,1620,1708,Weekday,Cold,7.443663683115591,day
36,2011-02-05,Spring,0,2,0,6,0,2,0.233333,0.929167,0.161079,100,905,1005,Weekend,Cold,6.913737350659685,day
37,2011-02-06,Spring,0,2,0,0,0,1,0.285833,0.568333,0.1418,354,1269,1623,Weekend,Cold,7.392647520721623,day
38,2011-02-07,Spring,0,2,0,1,1,1,0.271667,0.738333,0.0454083,120,1592,1712,Weekday,Cold,7.44600149832412,day
39,2011-02-08,Spring,0,2,0,2,1,1,0.220833,0.537917,0.36195,64,1466,1530,Weekday,Cold,7.333676395657684,day
40,2011-02-09,Spring,0,2,0,3,1,2,0.134783,0.494783,0.188839,53,1552,1605,Weekday,Cold,7.381501894506707,day
41,2011-02-10,Spring,0,2,0,4,1,1,0.144348,0.437391,0.221935,47,1491,1538,Weekday,Cold,7.338888133838879,day
42,2011-02-11,Spring,0,2,0,5,1,1,0.189091,0.506364,0.10855,149,1597,1746,Weekday,Cold,7.465655310134056,day
43,2011-02-12,Spring,0,2,0,6,0,1,0.2225,0.544167,0.203367,288,1184,1472,Weekend,Cold,7.29505641646263,day
44,2011-02-13,Spring,0,2,0,0,0,1,0.316522,0.457391,0.260883,397,1192,1589,Weekend,Mild,7.371489295214277,day
45,2011-02-14,Spring,0,2,0,1,1,1,0.415,0.375833,0.417908,208,1705,1913,Weekday,Mild,7.5569505720129,day
46,2011-02-15,Spring,0,2,0,2,1,1,0.266087,0.314348,0.291374,140,1675,1815,Weekday,Cold,7.504391559161238,day
47,2011-02-16,Spring,0,2,0,3,1,1,0.318261,0.423478,0.251791,218,1897,2115,Weekday,Mild,7.65728279297819,day
48,2011-02-17,Spring,0,2,0,4,1,1,0.435833,0.505,0.230104,259,2216,2475,Weekday,Mild,7.814399633804487,day
49,2011-02-18,Spring,0,2,0,5,1,1,0.521667,0.516667,0.264925,579,2348,2927,Weekday,Mild,7.982074875081202,day
50,2011-02-19,Spring,0,2,0,6,0,1,0.399167,0.187917,0.507463,532,1103,1635,Weekend,Mild,7.400009517162692,day
51,2011-02-20,Spring,0,2,0,0,0,1,0.285217,0.407826,0.223235,639,1173,1812,Weekend,Cold,7.502738210754851,day
