instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,rush_hour,day_type,temp_category,cnt_log,data_source
1,2011-01-01,Spring,0,1,0,0,6,0,1,0.24,0.81,0.194,3,13,16,Non-Rush Hour,Weekend,Cold,2.833213344056216,hour
2,2011-01-01,Spring,0,1,1,0,6,0,1,0.22,0.8,0.194,8,32,40,Non-Rush Hour,Weekend,Cold,3.713572066704308,hour
3,2011-01-01,Spring,0,1,2,0,6,0,1,0.22,0.8,0.194,5,27,32,Non-Rush Hour,Weekend,Cold,3.49650756146648,hour
4,2011-01-01,Spring,0,1,3,0,6,0,1,0.24,0.75,0.194,3,10,13,Non-Rush Hour,Weekend,Cold,2.639057329615259,hour
5,2011-01-01,Spring,0,1,4,0,6,0,1,0.24,0.75,0.194,0,1,1,Non-Rush Hour,Weekend,Cold,0.6931471805599453,hour
6,2011-01-01,Spring,0,1,5,0,6,0,2,0.24,0.75,0.0896,0,1,1,Non-Rush Hour,Weekend,Cold,0.6931471805599453,hour
7,2011-01-01,Spring,0,1,6,0,6,0,1,0.22,0.8,0.194,2,0,2,Non-Rush Hour,Weekend,Cold,1.0986122886681096,hour
8,2011-01-01,Spring,0,1,7,0,6,0,1,0.2,0.86,0.194,1,2,3,Rush Hour,Weekend,Cold,1.3862943611198906,hour
9,2011-01-01,Spring,0,1,8,0,6,0,1,0.24,0.75,0.194,1,7,8,Rush Hour,Weekend,Cold,2.19722457733622,hour
10,2011-01-01,Spring,0,1,9,0,6,0,1,0.32,0.76,0.194,8,6,14,Rush Hour,Weekend,Mild,2.70805020110221,hour
11,2011-01-01,Spring,0,1,10,0,6,0,1,0.38,0.76,0.2537,12,24,36,Non-Rush Hour,Weekend,Mild,3.610917912644224,hour
12,2011-01-01,Spring,0,1,11,0,6,0,1,0.36,0.81,0.2836,26,30,56,Non-Rush Hour,Weekend,Mild,4.04305126783455,hour
13,2011-01-01,Spring,0,1,12,0,6,0,1,0.42,0.77,0.2836,29,55,84,Non-Rush Hour,Weekend,Mild,4.442651256490317,hour
14,2011-01-01,Spring,0,1,13,0,6,0,2,0.46,0.72,0.2985,47,47,94,Non-Rush Hour,Weekend,Mild,4.553876891600541,hour
15,2011-01-01,Spring,0,1,14,0,6,0,2,0.46,0.72,0.2836,35,71,106,Non-Rush Hour,Weekend,Mild,4.672828834461906,hour
16,2011-01-01,Spring,0,1,15,0,6,0,2,0.44,0.77,0.2985,40,70,110,Non-Rush Hour,Weekend,Mild,4.709530201312334,hour
17,2011-01-01,Spring,0,1,16,0,6,0,2,0.42,0.82,0.2985,41,52,93,Rush Hour,Weekend,Mild,4.543294782270004,hour
18,2011-01-01,Spring,0,1,17,0,6,0,2,0.44,0.82,0.2836,15,52,67,Rush Hour,Weekend,Mild,4.219507705176107,hour
19,2011-01-01,Spring,0,1,18,0,6,0,3,0.42,0.88,0.2537,9,26,35,Rush Hour,Weekend,Mild,3.58351893845611,hour
20,2011-01-01,Spring,0,1,19,0,6,0,3,0.42,0.88,0.2537,6,31,37,Rush Hour,Weekend,Mild,3.6375861597263857,hour
21,2011-01-01,Spring,0,1,20,0,6,0,2,0.4,0.87,0.2537,11,25,36,Non-Rush Hour,Weekend,Mild,3.610917912644224,hour
22,2011-01-01,Spring,0,1,21,0,6,0,2,0.4,0.87,0.194,3,31,34,Non-Rush Hour,Weekend,Mild,3.555348061489413,hour
23,2011-01-01,Spring,0,1,22,0,6,0,2,0.4,0.94,0.2239,11,17,28,Non-Rush Hour,Weekend,Mild,3.367295829986474,hour
24,2011-01-01,Spring,0,1,23,0,6,0,2,0.46,0.88,0.2985,15,24,39,Non-Rush Hour,Weekend,Mild,3.688879454113936,hour
25,2011-01-02,Spring,0,1,0,0,0,0,2,0.46,0.88,0.2985,4,13,17,Non-Rush Hour,Weekend,Mild,2.8903717578961645,hour
26,2011-01-02,Spring,0,1,1,0,0,0,2,0.44,0.94,0.2537,1,16,17,Non-Rush Hour,Weekend,Mild,2.8903717578961645,hour
27,2011-01-02,Spring,0,1,2,0,0,0,2,0.42,1.0,0.2836,1,8,9,Non-Rush Hour,Weekend,Mild,2.302585092994046,hour
28,2011-01-02,Spring,0,1,3,0,0,0,2,0.46,0.94,0.194,2,4,6,Non-Rush Hour,Weekend,Mild,1.9459101490553128,hour
29,2011-01-02,Spring,0,1,4,0,0,0,2,0.46,0.94,0.194,2,1,3,Non-Rush Hour,Weekend,Mild,1.3862943611198906,hour
30,2011-01-02,Spring,0,1,6,0,0,0,3,0.42,0.77,0.2985,0,2,2,Non-Rush Hour,Weekend,Mild,1.0986122886681096,hour
31,2011-01-02,Spring,0,1,7,0,0,0,2,0.4,0.76,0.194,0,1,1,Rush Hour,Weekend,Mild,0.6931471805599453,hour
32,2011-01-02,Spring,0,1,8,0,0,0,3,0.4,0.71,0.2239,0,8,8,Rush Hour,Weekend,Mild,2.19722457733622,hour
33,2011-01-02,Spring,0,1,9,0,0,0,2,0.38,0.76,0.2239,1,19,20,Rush Hour,Weekend,Mild,3.044522437723423,hour
34,2011-01-02,Spring,0,1,10,0,0,0,2,0.36,0.81,0.2239,7,46,53,Non-Rush Hour,Weekend,Mild,3.9889840465642745,hour
