instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,rush_hour,day_type,temp_category,cnt_log
1,2011-01-01,Spring,0,1,0,0,6,0,1,0.24,0.81,0.194,3,13,16,Non-Rush Hour,Weekend,Cold,2.833213344056216
2,2011-01-01,Spring,0,1,1,0,6,0,1,0.22,0.8,0.194,8,32,40,Non-Rush Hour,Weekend,Cold,3.713572066704308
3,2011-01-01,Spring,0,1,2,0,6,0,1,0.22,0.8,0.194,5,27,32,Non-Rush Hour,Weekend,Cold,3.4965075614664802
4,2011-01-01,Spring,0,1,3,0,6,0,1,0.24,0.75,0.194,3,10,13,Non-Rush Hour,Weekend,Cold,2.639057329615259
5,2011-01-01,Spring,0,1,4,0,6,0,1,0.24,0.75,0.194,0,1,1,Non-Rush Hour,Weekend,Cold,0.6931471805599453
6,2011-01-01,Spring,0,1,5,0,6,0,2,0.24,0.75,0.0896,0,1,1,Non-Rush Hour,Weekend,Cold,0.6931471805599453
7,2011-01-01,Spring,0,1,6,0,6,0,1,0.22,0.8,0.194,2,0,2,Non-Rush Hour,Weekend,Cold,1.0986122886681096
8,2011-01-01,Spring,0,1,7,0,6,0,1,0.2,0.86,0.194,1,2,3,Rush Hour,Weekend,Cold,1.3862943611198906
9,2011-01-01,Spring,0,1,8,0,6,0,1,0.24,0.75,0.194,1,7,8,Rush Hour,Weekend,Cold,2.1972245773362196
10,2011-01-01,Spring,0,1,9,0,6,0,1,0.32,0.76,0.194,8,6,14,Rush Hour,Weekend,Mild,2.70805020110221
11,2011-01-01,Spring,0,1,10,0,6,0,1,0.38,0.76,0.2537,12,24,36,Non-Rush Hour,Weekend,Mild,3.6109179126442243
12,2011-01-01,Spring,0,1,11,0,6,0,1,0.36,0.81,0.2836,26,30,56,Non-Rush Hour,Weekend,Mild,4.04305126783455
13,2011-01-01,Spring,0,1,12,0,6,0,1,0.42,0.77,0.2836,29,55,84,Non-Rush Hour,Weekend,Mild,4.442651256490317
14,2011-01-01,Spring,0,1,13,0,6,0,2,0.46,0.72,0.2985,47,47,94,Non-Rush Hour,Weekend,Mild,4.553876891600541
